Period,Fund name,ABN,Merger,Merged,Acquirer,Fund type,25,34,44,49,54,59,64,69,74,84,85%,1000,24999,49000,99999,199999,499999,999999,1000000,cash,fi,equity,prop,infra,comm,Other,NtOuRt,1YrRet,TtlAst
2022,AustralianSuper,65714394898,1,0,0,Industry,0.01,0.07,0.17,0.11,0.13,0.15,0.15,0.11,0.06,0.03,0.0,0.1,0.38,0.12,0.13,0.13,0.1,0.02,0.01,0.1,0.18,0.51,0.07,0.13,0.0,0.0,0.218,-0.036,271748380
2022,Avanteos Superannuation Trust,38876896681,0,0,0,Retail,0.0,0.0,0.03,0.03,0.05,0.09,0.19,0.23,0.17,0.18,0.02,0.02,0.07,0.06,0.12,0.2,0.32,0.15,0.05,0.15,0.22,0.52,0.07,0.02,0.0,0.02,0.799,-0.068,11010492
2022,AvSuper Fund,84421446069,0,0,0,Public Sector,0.0,0.03,0.1,0.1,0.17,0.17,0.19,0.13,0.08,0.03,0.0,0.01,0.14,0.06,0.1,0.19,0.28,0.15,0.07,0.06,0.25,0.48,0.09,0.1,0.0,0.01,4.383,-0.037,2414499
2022,AvWrap Retirement Service,82004832237,0,0,0,Retail,0.0,0.0,0.02,0.02,0.04,0.07,0.23,0.23,0.15,0.21,0.03,0.05,0.04,0.03,0.09,0.2,0.37,0.18,0.06,0.17,0.2,0.51,0.06,0.05,0.0,0.01,0.245,-0.081,424832
2022,Aware Super,53226460365,0,0,0,Public Sector,0.0,0.05,0.14,0.11,0.13,0.13,0.15,0.14,0.09,0.06,0.0,0.1,0.23,0.12,0.16,0.19,0.17,0.03,0.01,0.07,0.22,0.55,0.09,0.06,0.0,0.01,0.705,-0.038,150695306
2022,Building Unions Superannuation Scheme (Queensland),85571332201,0,0,0,Industry,0.01,0.09,0.23,0.14,0.14,0.14,0.12,0.07,0.04,0.02,0.0,0.13,0.31,0.12,0.16,0.16,0.1,0.01,0.0,0.07,0.16,0.48,0.12,0.15,0.0,0.01,0.852,-0.053,5577795
2022,Care Super,98172275725,0,0,0,Industry,0.01,0.05,0.17,0.13,0.15,0.15,0.14,0.11,0.06,0.03,0.0,0.12,0.34,0.13,0.15,0.15,0.1,0.02,0.0,0.15,0.15,0.49,0.13,0.09,0.0,0.0,0.817,-0.019,19796808
2022,Centric Super Fund,91593544166,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,Challenger Retirement Fund,87883998803,0,0,0,Retail,0.0,0.0,0.0,0.0,0.01,0.02,0.07,0.2,0.27,0.35,0.08,0.01,0.18,0.15,0.21,0.21,0.18,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.722,-0.034,429751
2022,Christian Super,66628776348,0,0,0,Industry,0.01,0.06,0.17,0.13,0.14,0.14,0.15,0.11,0.06,0.0,0.0,0.18,0.34,0.13,0.15,0.13,0.07,0.0,0.0,0.06,0.16,0.61,0.1,0.06,0.0,0.01,1.182,-0.007,2045130
2022,ClearView Retirement Plan,45828721007,0,0,0,Retail,0.0,0.01,0.05,0.04,0.06,0.09,0.14,0.17,0.18,0.23,0.02,0.02,0.16,0.15,0.22,0.21,0.18,0.05,0.01,0.14,0.28,0.48,0.03,0.07,0.0,0.0,1.401,-0.071,2069641
2022,Colonial First State FirstChoice Superannuation Trust,26458298557,0,0,0,Retail,0.0,0.03,0.1,0.07,0.09,0.11,0.15,0.17,0.14,0.13,0.02,0.13,0.2,0.11,0.16,0.19,0.16,0.04,0.01,0.11,0.24,0.49,0.07,0.07,0.0,0.02,0.971,-0.072,82993523
2022,Colonial First State Rollover & Superannuation Fund,88854638840,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,CommInsure Corporate Insurance Superannuation Trust,49968181565,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.652,0.0,1538
2022,Commonwealth Bank Group Super,24248426878,0,0,0,Corporate,0.0,0.05,0.17,0.12,0.17,0.15,0.14,0.08,0.05,0.04,0.02,0.02,0.22,0.13,0.19,0.2,0.17,0.06,0.02,0.11,0.38,0.35,0.08,0.06,0.01,0.01,2.641,-0.052,12415984
2022,Commonwealth Essential Super,56601925435,0,0,0,Retail,0.02,0.3,0.34,0.1,0.09,0.07,0.04,0.02,0.01,0.0,0.0,0.05,0.6,0.2,0.1,0.04,0.01,0.0,0.0,0.13,0.1,0.57,0.09,0.11,0.0,0.0,0.735,-0.073,3763135
2022,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,1,0,0,Industry,0.01,0.1,0.21,0.13,0.15,0.15,0.13,0.08,0.04,0.02,0.0,0.11,0.34,0.13,0.15,0.15,0.1,0.01,0.0,0.02,0.22,0.5,0.14,0.13,0.0,0.0,0.226,-0.045,72551869
2022,Crescent Wealth Superannuation Fund,71302958449,0,0,0,Retail,0.01,0.17,0.47,0.14,0.1,0.07,0.03,0.01,0.0,0.0,0.0,0.27,0.43,0.13,0.11,0.06,0.01,0.0,0.0,0.16,0.0,0.5,0.25,0.0,0.0,0.09,0.339,0.0,361262
2022,Crown Employees (NSW Fire Brigades Firefighting Staff Death & Disability) Superannuation Fund,60532453567,0,0,0,Public Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.0,3680
2022,CSS Fund,19415776361,0,0,0,Public Sector,0.0,0.0,0.0,0.0,0.03,0.12,0.19,0.21,0.21,0.2,0.04,0.0,0.0,0.0,0.0,0.2,0.31,0.37,0.12,0.2,0.1,0.5,0.07,0.07,0.0,0.07,1.088,-0.179,61706811
2022,Definitive Superannuation Plan,47412936330,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.46,0.0,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.623,-0.01,575
2022,DIY Master Plan,46074281314,0,0,0,Retail,0.02,0.03,0.15,0.07,0.1,0.11,0.09,0.11,0.01,0.3,0.01,0.28,0.28,0.08,0.09,0.11,0.11,0.04,0.01,0.14,0.22,0.56,0.05,0.0,0.0,0.02,0.315,-0.086,1076639
2022,DPM Retirement Service,40725722496,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.2,0.46,0.07,0.12,0.13,0.12,0.2,0.18,0.15,0.0,0.0,0.13,0.08,0.67,0.06,0.04,0.0,0.03,6.057,-0.034,47178
2022,Encircle Superannuation Fund,68486630403,0,0,0,Retail,0.0,0.0,0.01,0.02,0.03,0.07,0.17,0.23,0.2,0.24,0.04,0.01,0.04,0.04,0.11,0.23,0.36,0.15,0.07,0.08,0.19,0.44,0.08,0.03,0.02,0.15,0.921,-0.061,2747525
2022,Energy Industries Superannuation Scheme-Pool A,22277243559,0,0,0,Public Sector,0.0,0.05,0.15,0.11,0.11,0.11,0.19,0.14,0.09,0.0,0.0,0.05,0.17,0.07,0.1,0.19,0.34,0.07,0.01,0.12,0.16,0.5,0.13,0.08,0.0,0.0,2.92,-0.066,3634790
2022,Energy Industries Superannuation Scheme-Pool B,64322090181,0,0,0,Public Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,equipsuper,33813823017,1,0,0,Industry,0.0,0.03,0.12,0.09,0.13,0.17,0.18,0.13,0.08,0.05,0.0,0.06,0.22,0.1,0.13,0.18,0.2,0.08,0.02,0.11,0.16,0.57,0.08,0.07,0.0,0.01,0.804,-0.043,44726318
2022,Fiducian Superannuation Fund,57929339093,0,0,0,Retail,0.0,0.01,0.02,0.03,0.06,0.12,0.19,0.2,0.15,0.19,0.03,0.01,0.09,0.08,0.16,0.24,0.29,0.11,0.02,0.17,0.22,0.55,0.07,0.0,0.0,0.0,0.463,-0.114,1908398
2022,Fire and Emergency Services Superannuation Fund,43198502058,0,0,0,Public Sector,0.0,0.03,0.11,0.1,0.15,0.19,0.2,0.1,0.07,0.04,0.0,0.01,0.12,0.07,0.12,0.21,0.26,0.19,0.03,0.12,0.26,0.51,0.1,0.0,0.02,0.0,0.934,-0.019,846723
2022,First Super,56286625181,0,0,0,Industry,0.01,0.06,0.16,0.12,0.17,0.19,0.16,0.09,0.04,0.01,0.0,0.09,0.35,0.14,0.16,0.16,0.08,0.01,0.0,0.05,0.21,0.43,0.1,0.15,0.0,0.06,0.767,0.005,3653497
2022,Future Super Fund,45960194277,0,0,0,Retail,0.04,0.28,0.34,0.11,0.08,0.06,0.04,0.02,0.02,0.0,0.0,0.12,0.54,0.16,0.0,0.17,0.02,0.0,0.0,0.07,0.16,0.61,0.01,0.0,0.0,0.15,0.176,-0.102,1459037
2022,Goldman Sachs & JBWere Superannuation Fund,55697537183,0,0,0,Corporate,0.0,0.02,0.15,0.16,0.21,0.18,0.14,0.07,0.03,0.0,0.0,0.02,0.11,0.11,0.16,0.19,0.24,0.11,0.06,0.09,0.09,0.78,0.04,0.0,0.0,0.01,0.842,-0.065,617896
2022,Grosvenor Pirie Master Superannuation Fund Series 2,32367272075,0,0,0,Retail,0.19,0.29,0.25,0.1,0.09,0.06,0.02,0.01,0.0,0.0,0.0,0.51,0.46,0.01,0.0,0.01,0.0,0.0,0.0,0.1,0.07,0.83,0.0,0.0,0.0,0.0,0.638,-0.142,261702
2022,Guild Retirement Fund,22599554834,0,0,0,Retail,0.05,0.23,0.3,0.12,0.11,0.08,0.06,0.03,0.01,0.0,0.0,0.2,0.5,0.13,0.11,0.05,0.01,0.0,0.0,0.11,0.09,0.71,0.07,0.03,0.0,0.0,0.508,-0.067,2390114
2022,Heidelberg Australia Superannuation Fund,75071229817,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,HESTA,64971749321,0,0,0,Industry,0.01,0.09,0.18,0.11,0.13,0.15,0.16,0.11,0.05,0.03,0.0,0.1,0.37,0.15,0.17,0.13,0.06,0.01,0.0,0.07,0.19,0.52,0.09,0.11,0.0,0.02,0.546,-0.026,67375949
2022,Holden Employees Superannuation Fund,77289319006,0,0,0,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,HOSTPLUS Superannuation Fund,68657495890,1,0,0,Industry,0.02,0.14,0.26,0.13,0.13,0.12,0.1,0.06,0.03,0.02,0.0,0.17,0.41,0.13,0.13,0.1,0.05,0.01,0.0,0.09,0.09,0.63,0.08,0.08,0.0,0.03,0.134,-0.026,82537867
2022,HUB24 Super Fund,60910190523,0,0,0,Retail,0.0,0.02,0.09,0.07,0.1,0.12,0.2,0.19,0.12,0.09,0.01,0.35,0.03,0.05,0.12,0.17,0.2,0.07,0.02,0.16,0.19,0.56,0.05,0.02,0.01,0.02,0.179,-0.081,17244427
2022,ING Superannuation Fund,13355603448,0,0,0,Retail,0.01,0.12,0.3,0.13,0.11,0.1,0.09,0.07,0.05,0.03,0.0,0.23,0.3,0.14,0.15,0.11,0.05,0.01,0.0,0.19,0.19,0.56,0.05,0.0,0.0,0.0,0.973,-0.061,3017266
2022,IOOF Portfolio Service Superannuation Fund,70815369818,0,0,0,Retail,0.03,0.04,0.09,0.07,0.09,0.1,0.15,0.17,0.13,0.13,0.02,0.08,0.26,0.12,0.16,0.17,0.15,0.05,0.02,0.13,0.22,0.5,0.07,0.02,0.0,0.05,0.92,-0.055,31695608
2022,legalsuper,60346078879,0,0,0,Industry,0.0,0.07,0.19,0.11,0.13,0.13,0.12,0.12,0.07,0.04,0.0,0.06,0.26,0.14,0.18,0.2,0.13,0.03,0.01,0.11,0.11,0.53,0.11,0.12,0.0,0.02,0.782,-0.019,5056523
2022,LGIAsuper,23053121564,1,0,0,Public Sector,0.0,0.05,0.15,0.11,0.14,0.17,0.17,0.11,0.06,0.04,0.0,0.1,0.2,0.1,0.13,0.18,0.21,0.06,0.01,0.12,0.11,0.6,0.12,0.05,0.0,0.0,0.161,-0.038,32507542
2022,Lifefocus Superannuation Fund,94579217553,0,0,0,Retail,0.0,0.0,0.01,0.01,0.04,0.08,0.13,0.2,0.24,0.24,0.03,0.36,0.29,0.05,0.08,0.09,0.09,0.03,0.01,0.13,0.25,0.44,0.08,0.03,0.0,0.06,16.159,-0.062,286117
2022,Linfox Staff Superannuation Fund,11260931967,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,Local Authorities Superannuation Fund,24496637884,0,0,0,Public Sector,0.0,0.03,0.1,0.09,0.12,0.16,0.19,0.16,0.09,0.06,0.0,0.08,0.25,0.11,0.15,0.19,0.17,0.04,0.01,0.2,0.17,0.43,0.08,0.11,0.0,0.01,0.947,-0.037,16184253
2022,Local Government Super,28901371321,0,0,0,Public Sector,0.0,0.03,0.1,0.08,0.12,0.16,0.2,0.16,0.09,0.05,0.0,0.08,0.21,0.11,0.15,0.21,0.18,0.05,0.01,0.07,0.32,0.45,0.09,0.04,0.0,0.03,1.048,-0.031,13610421
2022,Macquarie Superannuation Plan,65508799106,0,0,0,Retail,0.0,0.01,0.06,0.06,0.08,0.12,0.19,0.19,0.14,0.14,0.02,0.03,0.09,0.06,0.13,0.21,0.3,0.13,0.05,0.13,0.22,0.57,0.05,0.02,0.0,0.01,0.422,-0.077,31816754
2022,Macquarie University Professorial Superannuation Scheme,98415348576,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,Manildra Flour Mills Retirement Fund,32448411930,0,0,0,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,Maritime Super,77455663441,0,0,0,Industry,0.0,0.03,0.11,0.11,0.15,0.18,0.14,0.11,0.09,0.07,0.0,0.02,0.17,0.09,0.12,0.17,0.28,0.12,0.03,0.15,0.08,0.6,0.07,0.07,0.0,0.03,1.875,-0.013,5877975
2022,Mason Stevens Super,34422545198,0,0,0,Retail,0.0,0.01,0.07,0.06,0.07,0.11,0.2,0.21,0.14,0.11,0.0,0.05,0.03,0.04,0.12,0.24,0.34,0.14,0.03,0.22,0.21,0.5,0.03,0.01,0.02,0.03,0.17,-0.087,525099
2022,Meat Industry Employees Superannuation Fund,17317520544,0,0,0,Industry,0.01,0.06,0.15,0.13,0.17,0.16,0.15,0.1,0.04,0.0,0.0,0.11,0.43,0.13,0.13,0.12,0.07,0.0,0.0,0.09,0.11,0.45,0.22,0.13,0.0,0.0,1.192,0.002,954989
2022,Mercer Portfolio Service Superannuation Plan,92181844838,0,0,0,Retail,0.0,0.0,0.0,0.0,0.01,0.04,0.13,0.22,0.25,0.31,0.03,0.01,0.07,0.07,0.14,0.19,0.31,0.15,0.06,0.17,0.25,0.45,0.06,0.04,0.01,0.01,3.468,-0.052,1796316
2022,Mercer Super Trust,19905422981,0,0,0,Retail,0.0,0.03,0.17,0.15,0.19,0.18,0.15,0.07,0.03,0.02,0.0,0.38,0.18,0.08,0.1,0.11,0.11,0.03,0.01,0.14,0.1,0.59,0.09,0.05,0.01,0.01,1.055,-0.053,27522614
2022,Mercy Super,11789425178,0,0,0,Corporate,0.0,0.06,0.19,0.12,0.15,0.16,0.14,0.09,0.04,0.0,0.0,0.05,0.32,0.13,0.14,0.16,0.15,0.03,0.01,0.08,0.15,0.51,0.11,0.15,0.0,0.0,1.017,-0.023,1625178
2022,Military Superannuation & Benefits Fund No 1,50925523120,0,0,0,Public Sector,0.0,0.19,0.31,0.15,0.17,0.1,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.78,0.21,0.0,0.14,0.09,0.55,0.08,0.07,0.0,0.07,0.992,-0.018,76419313
2022,Mine Superannuation Fund,16457520308,0,0,0,Industry,0.0,0.05,0.19,0.12,0.13,0.14,0.15,0.11,0.07,0.03,0.0,0.03,0.18,0.08,0.12,0.2,0.3,0.07,0.01,0.09,0.14,0.59,0.08,0.05,0.0,0.05,1.214,-0.051,12796309
2022,MLC Super Fund,70732426024,0,0,0,Retail,0.0,0.05,0.17,0.13,0.16,0.15,0.13,0.08,0.06,0.06,0.01,0.25,0.28,0.11,0.12,0.12,0.09,0.02,0.01,0.13,0.15,0.57,0.08,0.05,0.0,0.02,1.484,-0.032,77653236
2022,MLC Superannuation Fund,40022701955,0,0,0,Retail,0.0,0.0,0.03,0.03,0.05,0.09,0.19,0.22,0.18,0.18,0.02,0.14,0.11,0.06,0.11,0.18,0.26,0.11,0.04,0.17,0.16,0.57,0.04,0.03,0.0,0.03,0.795,-0.06,23384838
2022,National Mutual Retirement Fund,76746741299,0,0,0,Retail,0.0,0.01,0.05,0.07,0.16,0.24,0.24,0.11,0.06,0.05,0.01,0.24,0.46,0.14,0.11,0.05,0.01,0.0,0.0,0.11,0.37,0.4,0.1,0.02,0.0,0.01,2.474,0.009,6047035
2022,NESS Super,72229227691,0,0,0,Industry,0.02,0.14,0.25,0.14,0.13,0.13,0.12,0.05,0.02,0.0,0.0,0.09,0.35,0.14,0.16,0.16,0.09,0.0,0.0,0.11,0.12,0.57,0.14,0.06,0.0,0.0,0.719,-0.044,952268
2022,Netwealth Superannuation Master Fund,94573747704,0,0,0,Retail,0.0,0.02,0.09,0.07,0.09,0.12,0.19,0.19,0.12,0.11,0.01,0.02,0.09,0.09,0.18,0.23,0.26,0.09,0.03,0.15,0.18,0.62,0.04,0.0,0.0,0.01,0.269,-0.083,19152635
2022,NGS Super,73549180515,0,0,0,Industry,0.0,0.04,0.13,0.11,0.14,0.15,0.18,0.14,0.08,0.04,0.0,0.1,0.29,0.12,0.15,0.16,0.14,0.03,0.01,0.06,0.13,0.55,0.13,0.1,0.02,0.01,0.843,-0.044,13401813
2022,Oasis Superannuation Master Trust,81154851339,0,0,0,Retail,0.0,0.0,0.04,0.05,0.09,0.11,0.16,0.17,0.17,0.17,0.02,0.08,0.23,0.12,0.17,0.18,0.15,0.06,0.02,0.15,0.19,0.57,0.06,0.03,0.0,0.01,4.403,-0.07,3271135
2022,OneSuper,43905581638,0,0,0,Retail,0.0,0.07,0.2,0.14,0.15,0.13,0.11,0.09,0.05,0.05,0.01,0.63,0.2,0.06,0.05,0.04,0.02,0.0,0.0,0.23,0.14,0.57,0.04,0.01,0.0,0.01,0.847,-0.073,1225995
2022,Perpetual Super Wrap,22897174641,0,0,0,Retail,0.19,0.21,0.07,0.05,0.05,0.06,0.09,0.09,0.09,0.08,0.01,0.02,0.06,0.02,0.04,0.1,0.28,0.24,0.25,0.09,0.2,0.6,0.09,0.01,0.0,0.01,0.69,-0.072,1811769
2022,Perpetual WealthFocus Superannuation Fund,41772007500,0,0,0,Retail,0.0,0.01,0.08,0.09,0.14,0.15,0.14,0.1,0.11,0.16,0.03,0.01,0.16,0.16,0.23,0.24,0.16,0.04,0.01,0.12,0.1,0.71,0.05,0.01,0.0,0.01,2.594,-0.039,1568753
2022,Perpetual's Select Superannuation Fund,51068260563,0,0,0,Retail,0.06,0.08,0.12,0.09,0.09,0.1,0.09,0.09,0.08,0.16,0.03,0.01,0.19,0.14,0.18,0.21,0.18,0.05,0.03,0.09,0.17,0.61,0.09,0.03,0.0,0.02,3.963,-0.047,1132937
2022,Personal Choice Private Fund,50159477169,0,0,0,Retail,0.0,0.0,0.04,0.05,0.07,0.1,0.15,0.22,0.19,0.18,0.0,0.0,0.1,0.06,0.16,0.24,0.26,0.09,0.0,0.2,0.15,0.54,0.05,0.02,0.0,0.05,9.277,-0.061,184396
2022,Platformplus Super Wrap,18906079389,0,0,0,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.2,0.41,0.01,0.03,0.0,0.0,0.001,-0.012,4164
2022,Praemium SMA Superannuation Fund,75703857864,0,0,0,Retail,0.0,0.02,0.09,0.07,0.09,0.12,0.18,0.2,0.12,0.09,0.01,0.05,0.06,0.07,0.16,0.25,0.29,0.09,0.02,0.19,0.2,0.57,0.03,0.0,0.0,0.02,0.268,-0.094,3044940
2022,Premiumchoice Retirement Service,70479285132,0,0,0,Retail,0.0,0.0,0.06,0.06,0.08,0.12,0.18,0.2,0.17,0.12,0.01,0.16,0.11,0.06,0.12,0.18,0.25,0.08,0.04,0.15,0.19,0.58,0.03,0.03,0.0,0.01,1.831,-0.073,460465
2022,Prime Super,60562335823,0,0,0,Industry,0.02,0.09,0.17,0.11,0.14,0.15,0.15,0.09,0.05,0.03,0.0,0.23,0.42,0.11,0.11,0.09,0.04,0.01,0.0,0.15,0.12,0.5,0.09,0.13,0.0,0.0,0.658,-0.051,6089913
2022,Public Sector Superannuation Accumulation Plan,65127917725,0,0,0,Public Sector,0.01,0.13,0.37,0.14,0.13,0.11,0.08,0.04,0.01,0.0,0.0,0.03,0.22,0.11,0.16,0.23,0.23,0.02,0.0,0.16,0.09,0.53,0.08,0.07,0.0,0.07,0.471,-0.034,19694084
2022,Public Sector Superannuation Scheme,74172177893,0,0,0,Public Sector,0.0,0.0,0.07,0.12,0.18,0.21,0.2,0.12,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.34,0.0,0.14,0.1,0.54,0.08,0.07,0.0,0.07,1.373,-0.025,100316721
2022,Qantas Superannuation Plan,41272198829,0,0,0,Corporate,0.0,0.01,0.08,0.12,0.22,0.23,0.19,0.09,0.04,0.0,0.0,0.03,0.16,0.08,0.11,0.15,0.26,0.15,0.05,0.07,0.3,0.43,0.02,0.05,0.04,0.1,3.129,0.008,8477939
2022,Rei Super,76641658449,0,0,0,Industry,0.01,0.09,0.24,0.14,0.15,0.13,0.1,0.07,0.05,0.0,0.0,0.07,0.32,0.16,0.19,0.17,0.08,0.01,0.0,0.11,0.17,0.6,0.06,0.06,0.0,0.0,0.727,-0.056,1889368
2022,Retail Employees Superannuation Trust,62653671394,0,0,0,Industry,0.05,0.2,0.22,0.1,0.11,0.1,0.09,0.06,0.04,0.02,0.0,0.18,0.49,0.13,0.11,0.06,0.02,0.0,0.0,0.06,0.21,0.51,0.12,0.1,0.0,0.0,0.606,-0.026,67248718
2022,Retirement Portfolio Service,61808189263,0,0,0,Retail,0.0,0.06,0.18,0.12,0.13,0.12,0.11,0.09,0.08,0.09,0.01,0.44,0.22,0.09,0.1,0.08,0.05,0.01,0.0,0.11,0.14,0.64,0.06,0.01,0.0,0.04,1.588,-0.059,33669738
2022,Retirement Wrap,39827542991,0,0,0,Retail,0.0,0.05,0.14,0.09,0.11,0.12,0.15,0.13,0.1,0.09,0.01,0.1,0.32,0.14,0.15,0.14,0.11,0.03,0.01,0.11,0.19,0.57,0.07,0.02,0.0,0.04,0.754,-0.069,81875971
2022,Russell Investments Master Trust,89384753567,0,0,0,Retail,0.0,0.04,0.16,0.14,0.18,0.18,0.15,0.08,0.04,0.03,0.0,0.11,0.29,0.12,0.14,0.15,0.15,0.04,0.01,0.13,0.14,0.58,0.09,0.05,0.0,0.0,1.507,-0.054,9502193
